Sample,1555778_a_at,1552519_at,1554044_a_at,1555758_a_at,Class
GSM272943,8.595513179,10.03836989,9.920696311,4.2432712189999995,0
GSM272944,9.566609631,8.822646442,9.966490706,4.431820887,0
GSM272945,9.872879392,8.899277536,7.852691042999999,4.603966098,0
GSM272946,8.862961276,6.783014701,6.362193036,4.653311018999999,0
GSM272947,8.634035202,7.519393372000001,9.202355227,4.834812798,0
GSM272948,9.376594619,8.98957179,8.616874533999999,4.382945963,0
GSM272949,8.888639739,8.49017665,8.923165904,4.390445293,0
GSM272970,12.11187515,4.124966508,6.336369782999999,8.628587017000001,1
GSM272971,9.652897474,3.52473737,5.290082731,6.37081848,1
GSM272972,12.74371014,3.844624099,5.493996108999999,8.140366239,1
GSM272973,9.29333142,4.823087693,6.235065737999999,6.579416199,1
GSM272974,12.10771172,4.414051989,5.630869646,7.074935546,1
GSM272975,12.90304181,3.6920196919999997,5.089472505,8.725792332000001,1
GSM272976,12.09952047,5.383901063,6.070139717000001,4.400810433,1
GSM272977,12.55910497,4.337285846,5.910562821,8.667096307000001,1
GSM272978,11.51798962,4.759536387,6.091095975,7.659143189,1
GSM272979,11.10374427,3.9117473780000003,5.187499226,5.590419292999999,1
GSM272980,12.94933698,3.629421873,5.380374531,8.259047733,1
